Date,Actual RNFB,Hybrid Predicted RNFB
2013-01-01,401.55,395.20010956246284
2013-02-01,401.55,397.20266188118813
2013-03-01,401.55,398.38085825242723
2013-04-01,393.57,399.166911440678
2013-05-01,393.57,394.771535
2013-06-01,393.57,394.206725433526
2013-07-01,391.05,394.1738150871302
2013-08-01,391.05,395.99803874239353
2013-09-01,391.05,392.260927908869
2013-10-01,400.19,391.7279141842975
2013-11-01,400.19,397.04969875195013
2013-12-01,400.19,399.249634130955
2014-01-01,395.94,399.8769324117355
2014-02-01,395.94,397.5029404230372
2014-03-01,395.94,396.40400212290507
2014-04-01,402.61,397.98137002910806
2014-05-01,402.61,400.44562828953343
2014-06-01,402.61,402.0449071697671
2014-07-01,401.17,400.6117028987707
2014-08-01,401.17,400.1575984448051
2014-09-01,401.17,402.2281808727498
2014-10-01,403.66,402.25393727145445
2014-11-01,403.66,403.4701495060248
2014-12-01,403.66,402.31581112794913
2015-01-01,406.05,400.991851348234
2015-02-01,406.05,400.33482927835735
2015-03-01,406.05,402.28125543294686
2015-04-01,405.06,405.2007488192225
2015-05-01,405.06,404.27973443603736
2015-06-01,405.06,405.7040504283032
2015-07-01,405.6,406.547464579029
2015-08-01,405.6,404.5847663005969
2015-09-01,405.6,404.85556461053585
2015-10-01,410.46,406.47110411333153
2015-11-01,410.46,408.78727537746477
2015-12-01,410.46,408.48424471071246
2016-01-01,414.58,409.7327764495483
2016-02-01,414.58,411.6724021491342
2016-03-01,414.58,408.2890278513418
2016-04-01,429.4,411.35739413944265
2016-05-01,429.4,415.82497700182694
2016-06-01,429.4,422.33923119748823
2016-07-01,421.5,425.1142729468028
2016-08-01,421.5,418.3098844651003
2016-09-01,421.5,419.0139793266325
2016-10-01,413.15,420.64403852613873
2016-11-01,413.15,417.75149908262154
2016-12-01,413.15,419.61767560022736
2017-01-01,413.19,420.6899789731106
2017-02-01,413.19,419.13318991404634
2017-03-01,413.19,419.46474133592005
2017-04-01,403.33,415.76798002358885
2017-05-01,403.33,412.14093478661704
2017-06-01,403.33,405.7064732149384
2017-07-01,404.38,406.1210603511846
2017-08-01,404.38,412.34150890386513
2017-09-01,404.38,405.896563347588
2017-10-01,415.63,410.14251186019146
2017-11-01,415.63,414.55670574900506
2017-12-01,415.63,414.0422529648334
2018-01-01,422.12,416.0313064404509
2018-02-01,422.12,420.5554120516189
2018-03-01,422.12,420.0574309925379
2018-04-01,423.91,420.785671074447
2018-05-01,423.91,427.58726222314306
2018-06-01,423.91,424.00660799850397
2018-07-01,422.3,421.8371197312606
2018-08-01,422.3,421.9664446233706
2018-09-01,422.3,419.62801589570347
2018-10-01,428.12,424.13817142893004
2018-11-01,428.12,425.58615664664234
2018-12-01,428.12,423.10941696699604
2019-01-01,422.07,425.3521959694017
2019-02-01,422.07,426.0657230701683
2019-03-01,422.07,426.6599666824422
2019-04-01,422.04,426.9348445687776
2019-05-01,422.04,427.65247502586163
2019-06-01,422.04,426.2975657269079
2019-07-01,421.69,423.3434186283306
2019-08-01,421.69,423.925059910168
2019-09-01,421.69,423.36163270772596
2019-10-01,418.72,429.44337948229156
2019-11-01,418.72,427.6085058088242
2019-12-01,418.72,428.20115378068675
2020-01-01,416.65,428.8045075593279
2020-02-01,416.65,422.756826148919
2020-03-01,416.65,423.1330306111427
2020-04-01,434.97,425.1152333216828
2020-05-01,434.97,432.66135539340115
2020-06-01,434.97,433.5169477261531
2020-07-01,425.02,444.21867780712
2020-08-01,425.02,429.0256847552201
2020-09-01,425.02,427.27394148197595
2020-10-01,420.18,426.87145880782714
2020-11-01,420.18,424.4795638845151
2020-12-01,420.18,421.23681112271584
2021-01-01,419.99,426.1287346024063
2021-02-01,419.99,423.8566521009358
2021-03-01,419.99,423.9403080996446
2021-04-01,420.05,424.18363468743183
2021-05-01,420.05,425.59359694403344
2021-06-01,420.05,425.28738931635183
2021-07-01,424.83,424.51690818951965
2021-08-01,424.83,426.7647868550639
2021-09-01,424.83,427.8757156203649
2021-10-01,434.03,426.05590068216964
