REF_DATE_DT,RNFB_intp,CPI no adjusted,diesel_price,jet_price,LE Price,GF Price,ZW Price,DC Price,month_sin,month_cos,currency_rate,LE_lag_6M,LE_lag_8M,LE_lag_10M,LE_lag_12M,GF_lag_6M,GF_lag_8M,ZW_lag_6M,ZW_lag_8M,ZW_lag_10M,ZW_lag_12M,DC_lag_3M,DC_lag_4M,Diesel_Price_lag_1M,Diesel_Price_lag_2M,Jet_Price_lag_1M,Jet_Price_lag_2M,apparent_temperature,temperature_2m,WRSI,FDD,snowfall,WRSI_Anomaly,WRSI_state,apparent_temperature_lag_1m,apparent_temperature_lag_2m,apparent_temperature_lag_3m,temperature_2m_lag_1m,temperature_2m_lag_2m,temperature_2m_lag_3m,WRSI_lag_1m,WRSI_lag_2m,WRSI_lag_3m,FDD_lag_1m,FDD_lag_2m,FDD_lag_3m,snowfall_lag_1m,snowfall_lag_2m,snowfall_lag_3m,WRSI_Anomaly_lag_1m,WRSI_Anomaly_lag_2m,WRSI_Anomaly_lag_3m,WRSI_state_lag_1m,WRSI_state_lag_2m,WRSI_state_lag_3m,covid_flag,RNFB_w/out,CPI_lag_1m,CPI_change_rate,CPI_change_rate_lag_3m
201201,392.96,120.7,129.19285714285715,111.78,125.275,151.79,658.5,16.665,0.5,0.866,0.9976,112.63,114.9,121.55,108.95,137.05,134.985,672.5,677.0,763.25,840.75,18.04,17.44,131.22142857142856,131.05714285714285,110.22,115.84,-31.78548387096774,-25.54663978494624,1.101721485667275,1289.2220430107527,0.0078091397849462,124.85486839157706,2,-23.545026881720432,-16.504583333333333,-10.649327956989248,-17.681989247311826,-10.614583333333334,-5.086424731182796,0.9794255603465012,1.0289023195265885,0.9176362097264612,570.1325268817204,143.95402777777778,2981.1756720430108,0.0208870967741935,0.04375,0.0298252688172043,-11.07163978494624,-6.1043373842592645,-267.4157762096774,1.0,0.0,2.0,0,392.96,120.2,0.0,0.0
201202,392.96,121.2,128.05,112.54,127.65,157.23,664.25,16.07,0.866,0.5,1.0063,114.25,112.75,117.05,112.03,132.45,138.07,745.25,584.75,769.25,782.5,19.1,18.04,129.19285714285715,131.22142857142856,111.78,110.22,-30.51408045977012,-24.437356321839083,1.0884623936520703,2016.093103448276,0.0166954022988505,160.3175197557471,2,-31.78548387096774,-23.545026881720432,-16.504583333333333,-25.54663978494624,-17.681989247311826,-10.614583333333334,1.101721485667275,0.9794255603465012,1.0289023195265885,1289.2220430107527,570.1325268817204,143.95402777777778,0.0078091397849462,0.0208870967741935,0.04375,124.85486839157706,-11.07163978494624,-6.1043373842592645,2.0,1.0,0.0,0,392.96,120.7,0.0041425020712511085,0.0
201203,392.96,121.7,130.94285714285715,114.44,120.45,148.82,660.75,15.66,1.0,0.0,1.0023,122.15,112.63,114.9,121.55,140.52,137.05,609.25,672.5,677.0,763.25,17.26,19.1,128.05,129.19285714285715,112.54,111.78,-28.616397849462366,-22.106317204301074,1.0946096061441226,2749.6236559139784,0.0210752688172043,237.92085013440857,2,-30.51408045977012,-31.78548387096774,-23.545026881720432,-24.437356321839083,-25.54663978494624,-17.681989247311826,1.0884623936520703,1.101721485667275,0.9794255603465012,2016.093103448276,1289.2220430107527,570.1325268817204,0.0166954022988505,0.0078091397849462,0.0208870967741935,160.3175197557471,124.85486839157706,-11.07163978494624,2.0,2.0,1.0,0,392.96,121.2,0.004125412541254203,0.0
201204,393.6766666666667,122.2,130.87857142857143,112.3,118.775,152.81,652.25,15.47,0.866,-0.5,1.0195,119.8,114.25,112.75,117.05,140.05,132.45,628.25,745.25,584.75,769.25,16.665,17.26,130.94285714285715,128.05,114.44,112.54,-16.6825,-11.31736111111111,1.0882885846524366,3229.4620833333333,0.0310138888888888,262.10296875000006,2,-28.616397849462366,-30.51408045977012,-31.78548387096774,-22.106317204301074,-24.437356321839083,-25.54663978494624,1.0946096061441226,1.0884623936520703,1.101721485667275,2749.6236559139784,2016.093103448276,1289.2220430107527,0.0210752688172043,0.0166954022988505,0.0078091397849462,237.92085013440857,160.3175197557471,124.85486839157706,2.0,2.0,2.0,0,395.11,121.7,0.0041084634346755244,0.0
201205,394.3933333333333,122.1,128.5857142857143,107.76,117.1,156.8,643.75,15.28,0.5,-0.866,0.9708,121.6,122.15,112.63,114.9,146.02,140.52,595.75,609.25,672.5,677.0,16.07,16.665,130.87857142857143,130.94285714285715,112.3,114.44,-5.874731182795699,-0.9963709677419356,1.0768525228328287,3411.542741935484,0.0207930107526881,243.31223118279576,2,-16.6825,-28.616397849462366,-30.51408045977012,-11.31736111111111,-22.106317204301074,-24.437356321839083,1.0882885846524366,1.0946096061441226,1.0884623936520703,3229.4620833333333,2749.6236559139784,2016.093103448276,0.0310138888888888,0.0210752688172043,0.0166954022988505,262.10296875000006,237.92085013440857,160.3175197557471,2.0,2.0,2.0,0,395.11,122.2,-0.0008183306055646877,0.0041425020712511085
201206,395.11,121.6,121.24285714285716,100.14,116.55,151.45,739.0,16.87,0.0,-1.0,0.9832,122.9,119.8,114.25,112.75,146.35,140.05,652.75,628.25,745.25,584.75,15.66,16.07,128.5857142857143,130.87857142857143,107.76,112.3,3.188194444444444,7.264305555555556,1.0702068105012374,3432.116666666667,0.0144861111111111,225.1508333333336,2,-5.874731182795699,-16.6825,-28.616397849462366,-0.9963709677419356,-11.31736111111111,-22.106317204301074,1.0768525228328287,1.0882885846524366,1.0946096061441226,3411.542741935484,3229.4620833333333,2749.6236559139784,0.0207930107526881,0.0310138888888888,0.0210752688172043,243.31223118279576,262.10296875000006,237.92085013440857,2.0,2.0,2.0,0,395.11,122.1,-0.004095004095004073,0.004125412541254203
201207,393.7766666666667,121.5,120.24285714285716,102.08,117.31,148.02499999999998,804.5,17.880000000000003,-0.5,-0.866,0.9987,125.275,121.6,122.15,112.63,151.79,146.02,658.5,595.75,609.25,672.5,15.47,15.66,121.24285714285716,128.5857142857143,100.14,107.76,6.274596774193548,9.088844086021505,1.0701847169667764,3432.116666666667,0.0,225.08463541666697,2,3.188194444444444,-5.874731182795699,-16.6825,7.264305555555556,-0.9963709677419356,-11.31736111111111,1.0702068105012374,1.0768525228328287,1.0882885846524366,3432.116666666667,3411.542741935484,3229.4620833333333,0.0144861111111111,0.0207930107526881,0.0310138888888888,225.1508333333336,243.31223118279576,262.10296875000006,2.0,2.0,2.0,0,391.11,121.6,-0.0008223684210525439,0.0041084634346755244
201208,392.4433333333333,121.8,123.46428571428572,106.28,118.07,144.6,870.0,18.89,-0.866,-0.5,1.0075,127.65,122.9,119.8,114.25,157.23,146.35,664.25,652.75,628.25,745.25,15.28,15.47,120.24285714285716,121.24285714285716,102.08,100.14,4.819086021505377,8.229435483870969,1.0701847169667764,3432.116666666667,0.0,225.08463541666697,2,6.274596774193548,3.188194444444444,-5.874731182795699,9.088844086021505,7.264305555555556,-0.9963709677419356,1.0701847169667764,1.0702068105012374,1.0768525228328287,3432.116666666667,3432.116666666667,3411.542741935484,0.0,0.0144861111111111,0.0207930107526881,225.08463541666697,225.1508333333336,243.31223118279576,2.0,2.0,2.0,0,391.11,121.5,0.0024691358024691024,-0.0008183306055646877
201209,391.11,122.0,127.29285714285712,110.5,122.07,143.8,902.5,18.98,-1.0,-0.0,1.016,120.45,125.275,121.6,122.15,148.82,151.79,660.75,658.5,595.75,609.25,16.87,15.28,123.46428571428572,120.24285714285716,106.28,102.08,-1.13,3.5825,1.069827209845463,3432.116666666667,0.0103055555555555,224.01233506944456,2,4.819086021505377,6.274596774193548,3.188194444444444,8.229435483870969,9.088844086021505,7.264305555555556,1.0701847169667764,1.0701847169667764,1.0702068105012374,3432.116666666667,3432.116666666667,3432.116666666667,0.0,0.0,0.0144861111111111,225.08463541666697,225.08463541666697,225.1508333333336,2.0,2.0,2.0,0,391.11,121.8,0.0016420361247948545,-0.004095004095004073
201210,393.32,122.2,127.35714285714286,110.78,126.75,146.3,864.5,21.06,-0.866,0.5,1.0005,118.775,127.65,122.9,119.8,152.81,157.23,652.25,664.25,652.75,628.25,17.880000000000003,16.87,127.29285714285712,123.46428571428572,110.5,106.28,-9.006720430107526,-3.668548387096774,1.070717822589327,3478.378494623656,0.0397983870967742,229.7870463709678,2,-1.13,4.819086021505377,6.274596774193548,3.5825,8.229435483870969,9.088844086021505,1.069827209845463,1.0701847169667764,1.0701847169667764,3432.116666666667,3432.116666666667,3432.116666666667,0.0103055555555555,0.0,0.0,224.01233506944456,225.08463541666697,225.08463541666697,2.0,2.0,2.0,0,397.74,122.0,0.0016393442622950616,-0.0008223684210525439
